,CUI,Drug,Indication
0,['237057'],Lepirudin, the heparin-induced thrombocypenia
1,['318341'],Cetuximab,", in combination with irinotecan, is the egfr-expressing, metastatic colorectal carcinoma in patients who are refracry irinotecan-based chemotherapy. administered as a single agent is the egfr-expressing, metastatic colorectal carcinoma in patients who are inlerant irinotecan-based chemotherapy."
2,['337623'],Dornase alfa, as adjunct therapy in the cystic fibrosis.
3,['214470'],Denileukin diftitox, cutaneous t-cell lymphoma
4,['214555'],Etanercept, is the moderately severely active rheumaid arthritis in adults and chronic moderate severe plaque psoriasis in adults. it is also manage signs and sympms polyarticular idiopathic arthritis in those aged 4 17 after insufficient response one or more disease-modifying anti-rheumatic drugs. is also improve psoriatic arthritis and ankylosing spondylitis.
5,['60819'],Bivalirudin," heparin-induced thrombocypenia and the prevention thrombosis. is use in patients undergoing percutaneous coronary intervention (pci), in patients at moderate high risk acute coronary syndromes due unstable angina or non-st segment elevation in whom a pci is planned."
6,['42375'],Leuprolide," prostate cancer, endometriosis, uterine fibroids and premature puberty"
7,['120608'],Peginterferon alfa-2a, is the hcv in combination with other antiviral drugs in patients over 5 years age with compensated liver disease [fda label]. may be as a monotherapy in patients with contraindications or significant inlerance other anti-viral therapies. is also as a monotherapy adult patients with hbeag positive and hbeag negative chronic hepatitis b infection who have compensated liver disease and evidence viral replication and liver inflammation [fda label].
8,['8410'],Alteplase," acute myocardial infarction, acute ischemic strok and lysis acute pulmonary emboli"
9,['56188'],Sermorelin," the dwarfism, prevention hiv-induced weight loss"
10,['202912'],Interferon alfa-n1, venereal or genital warts ca by the human papiloma virus
11,['283838'],Darbepoetin alfa, the anemia (from renal transplants or certain hiv )
12,['11055'],Urokinase," can be the pulminary embolism, coronary artery thrombosis, iv catheter clearance, and venous and arterial blood clots."
13,['50610'],Goserelin," treat hormone-sensitive cancers the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). in addition, is in assisted reproduction and in the precocious puberty."
14,['76895'],Reteplase," lysis acute pulmonary emboli, intracoronary emboli and myocardial infarction"
15,"['105694', '105695']",Erythropoietin," use in the sympmatic anaemia associated with chronic renal failure (crf) in adult and paediatric patients. also use in the anaemia and reduction transfusion requirements in adult patients receiving chemotherapy solid tumours, malignant lymphoma or multiple myeloma, and at risk transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre-existing anaemia at the start chemotherapy). also increase the yield aulogous blood from patients in a predonation program. when administered subcutaneously, epoetin zeta is equivalent epoetin alfa in terms clinical effectiveness."
16,['36118'],Salmon Calcitonin," in the sympmatic paget's disease patients unresponsive alternate s or inlerant such s. in addition, it is in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. it can also be added existing therapeutic regimens hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. calcinin can be in patients with azotemia and cases where intravenous fluids would be contra due limited cardiac reserves. also the post-menopausal osteoporosis in women more than 5 years post-menopause."
17,['612937'],Interferon alfa-n3, the intralesional refracry or recurring external condylomata acuminata.
18,['338036'],Pegfilgrastim," leukocyte production, in non-myeloid cancer, neutropenia and bone marrow transplant."
19,['69634'],Sargramostim, the cancer and bone marrow transplant
