,CUI,Drug,Indication,Contraindication
0,,insulin lispro protamine (rDNA origin)/insulin lispro (rDNA origin),"['type 1 diabetes mellitus or for type 2 diabetes mellitus inadequately managed by diet, exercise, and oral hypoglycemics', 'formoterol; mometasone']","['diarrhea', 'fever', 'infection', 'surgery', 'thyroid disease', 'trauma', 'vomiting', 'hepatic disease', 'renal failure', 'renal impairment', 'coma', 'continuous subcutaneous insulin infusion (csii) administration', 'diabetic ketoacidosis', 'hyperosmolar hyperglycemic state (hhs)', 'intravenous administration', 'hypoglycemia', 'hypokalemia', 'cresol hypersensitivity', 'labor', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'children', 'infants', 'tobacco smoking', 'geriatric']"
1,"['306266', '1546027']",entecavir,"['chronic hepatitis b infection in patients with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (ast or alt) or histologically active disease', 'chronic hepatitis b in nucleoside-treatment-naive patients with compensated liver disease', 'treatment of chronic hepatitis b in patients with compensated liver disease and a history of hepatitis b viremia while receiving lamivudine or with known lamivudine or telbivudine resistance mutations (rtm204i/v with or without rtl180m, rtl80i/v, or rtv173l)', 'chronic hepatitis b in patients coinfected with hiv�', 'chronic hepatitis b in patients with decompensated liver disease']","['hepatitis b exacerbation', 'hepatitis b and hiv coinfection', 'human immunodeficiency virus (hiv) infection', 'organ transplant', 'females', 'hepatic disease', 'hepatotoxicity or lactic acidosis', 'obesity', 'dialysis', 'geriatric', 'renal failure', 'renal impairment', 'children', 'infants', 'neonates', 'breast-feeding', 'pregnancy']"
2,['60212'],atovaquone,"['acute, mild to moderately-severe pneumocystis pneumonia (pcp) infections in patients who do not tolerate trimethoprim-sulfamethoxazole', 'primary or secondary pneumocystis pneumonia (pcp) prophylaxis', 'the acute treatment of toxoplasmic encephalitis� (toxoplasmosis�) due to <em>toxoplasma gondii</em> in hiv-infected patients', 'toxoplasmosis prophylaxis�, specifically toxoplasmic encephalitis (te), in hiv-infected patients', 'primary toxoplasmosis prophylaxis� in hiv-infected patients', 'secondary toxoplasmosis prophylaxis� (i', 'babesiosis� in combination with azithromycin']","['gi disease', 'infection', 'respiratory insufficiency', 'pregnancy', 'breast-feeding', 'benzyl alcohol hypersensitivity', 'neonates', 'hepatic disease']"
3,['358274'],ambrisentan,['improvement in exercise ability and delay in clinical worsening in patients with who group i pulmonary hypertension (pah)'],"['hepatic disease', 'hepatitis', 'anemia', 'geriatric', 'peripheral edema', 'pulmonary edema', 'veno-occlusive disease (vod)', 'pulmonary fibrosis', 'pregnancy', 'breast-feeding', 'contraception requirements', 'infertility', 'pregnancy testing', 'reproductive risk']"
4,['60548'],exenatide,['type 2 diabetes mellitus in combination with diet and exercise'],"['diabetic ketoacidosis', 'type 1 diabetes mellitus', 'burns', 'diarrhea', 'fever', 'infection', 'surgery', 'thyroid disease', 'trauma', 'vomiting', ""crohn's disease"", 'gastroparesis', 'gi disease', 'inflammatory bowel disease', 'ulcerative colitis', 'hypoglycemia', 'dehydration', 'dialysis', 'kidney transplant', 'renal disease', 'renal failure', 'renal impairment', 'tobacco smoking', 'pregnancy', 'breast-feeding', 'children', 'infants', 'pancreatitis', 'medullary thyroid carcinoma (mtc)', 'multiple endocrine neoplasia syndrome type 2 (men 2)', 'thyroid cancer', 'thyroid c-cell tumors', 'geriatric']"
5,['9639'],selegiline,"[""parkinson's disease or parkinsonism in combination with levodopa or levodopa/carbidopa"", 'major depression']","['maoi therapy', 'alcoholism', 'ethanol ingestion', 'hypertension', 'hypertensive crisis', 'pheochromocytoma', 'children', 'suicidal ideation', 'bipolar disorder', 'mania', 'behavioral changes', 'psychosis', 'schizophrenia', 'impulse control symptoms', 'hypotension', 'orthostatic hypotension', 'hepatic disease', 'renal failure', 'renal impairment', 'melanoma', 'driving or operating machinery', 'abrupt discontinuation', 'pregnancy', 'breast-feeding', 'geriatric', 'phenylketonuria', 'ambient temperature increase', 'heating pad', 'sunlight (uv) exposure']"
6,['3407'],digoxin,"['ventricular rate control in patients with chronic atrial fibrillation and/or atrial flutter�; or for the treatment of narrow-complex paroxysmal supraventricular tachycardia (psvt)� or for paroxysmal supraventricular tachycardia (psvt) prophylaxis� in patients without a delta wave on ecg during sinus rhythm; or for the treatment of congestive heart failure', 'the transplacental treatment of fetal supraventricular tachyarrhythmias�']","['acute myocardial infarction', 'adams-stokes syndrome', 'av block', 'bradycardia', 'cardiomyopathy', 'cor pulmonale', 'hyperthyroidism', 'hypothyroidism', 'hypoxemia', 'myocarditis', 'myxedema', 'pulmonary disease', 'sick sinus syndrome', 'carotid sinus hypersensitivity', 'ventricular arrhythmias', 'ventricular fibrillation', 'ventricular tachycardia', 'wolff-parkinson-white syndrome', 'renal disease', 'renal failure', 'renal impairment', 'geriatric', 'hepatic disease', 'constrictive pericarditis', 'idiopathic hypertrophic subaortic stenosis', 'electrolyte imbalance', 'hypercalcemia', 'hyperkalemia', 'hypocalcemia', 'hypokalemia', 'hypomagnesemia', 'hypertension', 'infants', 'neonates', 'premature neonates', 'pregnancy', 'breast-feeding', 'diarrhea', 'malabsorption syndrome', 'intramuscular administration']"
7,,valacyclovir hydrochloride,"['herpes simplex virus infection, including herpes labialis and herpes genitalis, and including hiv-infected patients�', 'herpes labialis (i', 'initial episode of herpes genitalis', 'recurrent herpes genitalis, including hiv-infected patients�', 'herpes zoster (shingles) infection', 'varicella (chickenpox) infection', 'acute retinal necrosis (arn)� due to varicella-zoster virus in hiv-infected patients', 'herpes genitalis prophylaxis or for secondary herpes simplex infection prophylaxis�', 'suppressive therapy of recurrent herpes genitalis in all patients or for secondary herpes simplex infection prophylaxis� in hiv-patients for frequent or severe recurrences', 'the reduction of transmission of genital herpes to an immunocompetent uninfected sex partner, in immunocompetent patients with a history of 9 or fewer recurrences per year', 'primary cytomegalovirus (cmv) disease prophylaxis�', 'primary cytomegalovirus (cmv) disease prophylaxis� in patients after kidney transplantation', 'primary cytomegalovirus (cmv) disease prophylaxis� in patients after bone marrow transplantation', 'primary cytomegalovirus (cmv) disease prophylaxis� in patients after heart transplantation', 'the treatment and prophylaxis of encephalitis� due to b virus (cercopithecine herpesvirus) infection�', ""bell's palsy� in combination with steroids"", 'post-exposure varicella (chickenpox) infection prophylaxis� to prevent primary infection in hiv-infected patients']","['acyclovir hypersensitivity', 'famciclovir hypersensitivity', 'ganciclovir hypersensitivity', 'penciclovir hypersensitivity', 'valacyclovir hypersensitivity', 'valganciclovir hypersensitivity', 'renal failure', 'renal impairment', 'geriatric', 'dehydration', 'children', 'infants', 'neonates', 'pregnancy', 'breast-feeding']"
8,['4083'],drospirenone/ethinyl estradiol,"['routine contraception', 'acne vulgaris in women who also desire oral contraception', 'premenstrual dysphoric disorder (pmdd) in women who also desire oral contraception', ""endometriosis� to induce endometrial involution to a 'resting' phase and reduce the size and growth of endometrial tissue in females with no contraindications to hormonal contraceptives, who have achieved menarche and desire contraception"", 'the treatment or adjuvant treatment of conditions such as amenorrhea�, hirsutism�, or polycystic ovary syndrome� related to hypoestrogenic or hyperandrogenic conditions in females who desire oral contraception', 'formoterol; mometasone']","['acquired immunodeficiency syndrome (aids)', 'human immunodeficiency virus (hiv) infection', 'adrenal insufficiency', 'electrolyte imbalance', 'hyperkalemia', 'renal disease', 'renal failure', 'renal impairment', 'pregnancy', 'cholestasis', 'gallbladder disease', 'hepatic disease', 'hepatitis', 'hepatocellular cancer', 'jaundice', 'porphyria', 'breast-feeding', 'obstetric delivery', 'obesity', 'diabetes mellitus', 'hyperlipidemia', 'hypertriglyceridemia', 'pancreatitis', 'atrial fibrillation', 'cerebrovascular disease', 'coronary artery disease', 'coronary thrombosis', 'endocarditis', 'hypercholesterolemia', 'hypertension', 'myocardial infarction', 'protein c deficiency', 'protein s deficiency', 'stroke', 'thromboembolic disease', 'thromboembolism', 'thrombophlebitis', 'tobacco smoking', 'valvular heart disease', 'systemic lupus erythematosus (sle)', 'surgery', 'headache', 'migraine', 'depression', 'contact lenses', 'glaucoma', 'visual disturbance', 'children', 'breast cancer', 'hypercalcemia', 'cervical cancer', 'endometrial cancer', 'ovarian cancer', 'uterine cancer', 'vaginal bleeding', 'vaginal cancer', 'hypothyroidism', 'thyroid disease', 'chloasma', 'angioedema', 'hereditary angioedema']"
9,,U-500) (insulin human,"['type 1 diabetes mellitus or for type 2 diabetes mellitus inadequately managed by diet, exercise, and oral hypoglycemics', 'gestational diabetes or for the treatment of patients with pre-existing diabetes mellitus (type 1 or type 2) who are now pregnant', 'pregnant patients with gestational-onset diabetes not controlled by diet-therapy alone', 'pregnant patients with preexisting diabetes prior to pregnancy', 'diabetic ketoacidosis (dka)', 'hyperosmolar hyperglycemic state (hhs) in patients with type 2 diabetes mellitus', 'neonatal diabetes mellitus�', 'nutritional supplementation� to maintain normoglycemia in very low birthweight infants with persistent glucose intolerance, including those neonates on parenteral nutrition with persistent glucose intolerance', 'hyperkalemia�', 'formoterol; mometasone']","['diarrhea', 'fever', 'infection', 'surgery', 'thyroid disease', 'trauma', 'vomiting', 'hepatic disease', 'renal failure', 'renal impairment', 'intramuscular administration', 'intravenous administration', 'continuous subcutaneous insulin infusion (csii) administration', 'hypoglycemia', 'hypokalemia', 'cresol hypersensitivity', 'labor', 'neonates', 'obstetric delivery', 'pregnancy', 'breast-feeding', 'children', 'infants', 'tobacco smoking', 'geriatric']"
