['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['318341'],Cetuximab,"Cetuximab, used in combination with irinotecan, is indicated for the treatment of EGFR-expressing, metastatic colorectal carcinoma in patients who are refractory to irinotecan-based chemotherapy. Cetuximab administered as a single agent is indicated for the treatment of EGFR-expressing, metastatic colorectal carcinoma in patients who are intolerant to irinotecan-based chemotherapy."
['337623'],Dornase alfa,Used as adjunct therapy in the treatment of cystic fibrosis.
['214470'],Denileukin diftitox,For treatment of cutaneous T-cell lymphoma
['214555'],Etanercept,Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and chronic moderate to severe plaque psoriasis in adults. It is also used to manage signs and symptoms of polyarticular idiopathic arthritis in those aged 4 to 17 after insufficient response to one or more disease-modifying anti-rheumatic drugs. Etanercept is also used to improve psoriatic arthritis and ankylosing spondylitis.
['60819'],Bivalirudin,"For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned."
['42375'],Leuprolide,"For treatment of prostate cancer, endometriosis, uterine fibroids and premature puberty"
['120608'],Peginterferon alfa-2a,"Peginterferon alfa-2a is indicated for the treatment of HCV in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies. Peginterferon alfa-2a is also indicated as a monotherapy for adult patients with HBeAg positive and HBeAg negative chronic hepatitis B infection who have compensated liver disease and evidence of viral replication and liver inflammation [FDA Label]."
['8410'],Alteplase,"For management of acute myocardial infarction, acute ischemic strok and for lysis of acute pulmonary emboli"
['56188'],Sermorelin,"For the treatment of dwarfism, prevention of HIV-induced weight loss"
['202912'],Interferon alfa-n1,For treatment of venereal or genital warts caused by the Human Papiloma Virus
['283838'],Darbepoetin alfa,For the treatment of anemia (from renal transplants or certain HIV treatment)
['11055'],Urokinase,"Urokinase can be used for the treatment of pulminary embolism, coronary artery thrombosis, IV catheter clearance, and venous and arterial blood clots."
['50610'],Goserelin,"Used to treat hormone-sensitive cancers of the breast (in pre- and peri- menopausal women) and prostate, and some benign gynaecological disorders (endometriosis, uterine fibroids and endometrial thinning). In addition, goserelin is used in assisted reproduction and in the treatment of precocious puberty."
['76895'],Reteplase,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
"['105694', '105695']",Erythropoietin,"For use in the treatment of symptomatic anaemia associated with chronic renal failure (CRF) in adult and paediatric patients. Also for use in the treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours, malignant lymphoma or multiple myeloma, and at risk of transfusion as assessed by the patient's general status (e.g. cardiovascular status, pre-existing anaemia at the start of chemotherapy). Also for used to increase the yield of autologous blood from patients in a predonation program. When administered subcutaneously, Epoetin Zeta is equivalent to Epoetin Alfa in terms of clinical effectiveness."
['36118'],Salmon Calcitonin,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  "
['612937'],Interferon alfa-n3,For the intralesional treatment of refractory or recurring external condylomata acuminata.
['338036'],Pegfilgrastim,"Increases leukocyte production, for treatment in non-myeloid cancer, neutropenia and bone marrow transplant."
['69634'],Sargramostim,For the treatment of cancer and bone marrow transplant
['9627'],Secretin,For diagnosis of pancreatic exocrine dysfunction and gastrinoma
['253453'],Peginterferon alfa-2b,"Peginterferon alfa-2b is indicated for the treatment of HCV in combination with [DB00811] and a NS3/4A protease inhibitor for genotype 1 or without a NS3/4A protease inhibitor for genotypes 2-6 [FDA Label]. May be used as a monotherapy in patients with contraindications to or significant intolerance to other anti-viral therapies."
['1156'],Asparaginase,For treatment of acute lympocytic leukemia and non-Hodgkins lymphoma
"['4952', '10579']",Thyrotropin Alfa,For detection of residueal or recurrent thyroid cancer
['1300486'],"Antihemophilic factor, human recombinant","For the treatment of hemophilia A, von Willebrand disease and Factor XIII deficiency."
['72435'],Anakinra,For the treatment of adult rheumatoid arthritis and treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID).
['5011'],Gramicidin D,"For treatment of skin lesions, surface wounds and eye infections."
"['42386', '1426680']",Immune Globulin Human,"IVIg is used in the treatment of immunodeficiencies, as well as autoimmune and inflammatory disorders. These indications includes idiopathic thrombocytopenic purpura, Kawasaki disease, hypogammaglobulinemia, B cell chronic lymphocytic leukemia, bone marrow transplant complications, Guillain-Barré syndrome, chronic inflammatory demyelinating polyneuropathy (CIDP), multiple sclerosis, rheumatoid arthritis, myesthenia gravis, Wiskott–Aldrich syndrome and inflammatory skin diseases."
['40028'],Anistreplase,"For lysis of acute pulmonary emboli, intracoronary emboli and management of myocardial infarction"
"['253182', '631657']",Insulin Human,Indicated as an adjunct to diet and exercise to improve glycemic control in adults and children with type 1 and type 2 diabetes mellitus.
['259280'],Tenecteplase,For treatment of myocardial infarction and lysis of intracoronary emboli
['5882'],Interferon gamma-1b,Interferon gamma-1b is used for the treatment of Chronic granulomatous disease and Osteopetrosis.
['5879'],"Interferon Alfa-2a, Recombinant","For the treatment of chronic hepatitis C, hairy cell leukemia, AIDS-related Kaposi's sarcoma, and chronic myelogenous leukemia. Also for the treatment of oral warts arising from HIV infection."
