Use of any investigational drugs, biologics, or devices within  days prior or during the study treatment.
Cohort B Safety Run-In (Ribociclib + PDR + Fulvestrant): Prior biologics / investigational therapy: \r\n* Prior therapy with biologics and investigational drugs is allowed, as long as the last dose is >=  days prior to first dose of study treatment
Cohort A Dose Expansion (Ribociclib + PDR): Prior biologics / investigational therapy: \r\n* Prior therapy with biologics and investigational drugs is allowed, as long as the last dose is >=  days prior to first dose of study treatment
Expansion Cohort B (Ribociclib + PDR + Fulvestrant): Prior biologics / investigational therapy:\r\n* Prior therapy with biologics and investigational drugs is allowed, as long as the last dose is >=  days prior to first dose of study treatment
Patient has used any investigational drugs, biologics (vaccines, antibodies), or devices within  days prior to study treatment or has plans to use any of these during the course of the study
Participated in a previous clinical trial or used any investigational drugs, biologics, or devices within  days prior to study treatment or plans to use any of these during the course of the study.
Used any investigational drugs, biologics, or devices within  days prior to study treatment or plans to use any of these during the course of the study.
Used any investigational drugs, biologics, or devices within  days prior to study treatment or plans to use any of these during the course of the study.
Patient has used any investigational drugs, biologics, or devices within  days prior to study treatment or plans to use any of these during the course of the study.
Use of any investigational drugs, biologics, or devices within  days prior to study enrollment
Patient has used any investigational drugs, biologics, or devices within  days prior to study treatment or plans to use any of these during the course of the study
