Any active autoimmune disease or a documented history of serious autoimmune disease within the past  years requiring immunosuppressive therapy.
Participant must not have an active or prior documented autoimmune disease in the last  years.
Has active or prior autoimmune disease within the past  years
Active or prior documented autoimmune disease within the past  years
Has an active autoimmune disease requiring systemic treatment within the past  years OR a documented history of clinically severe autoimmune disease.
Active or prior documented autoimmune disease within the last  years.
Has active or prior documented autoimmune disease within the past  months
Active or prior documented autoimmune disease within the past  years
Active or prior documented autoimmune disease within the past  years.
Active or prior documented autoimmune disease within the past  years
Active or prior documented autoimmune disease within the past  years
Active or prior documented autoimmune disease within the past  years
Active or prior documented autoimmune disease within the past  years
Active or prior autoimmune disorder within the past  years
