Have participated in another therapeutic clinical trial with an investigational drug within  month
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients may not be receiving any other investigational agents; if patients are currently part of or have participated in any clinical investigation with an investigational drug, the last administration of the investigational study should be at least  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing (except ALK inhibitors)
Patients who are currently part of or have participated in any clinical investigation with an investigational therapeutic drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  days prior to dosing.
Current participation in another clinical investigation of a medical device or a drug or has participated in such a study within  days prior to study enrollment
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Participation in any other clinical investigation within  weeks of receiving the first dose of study drug
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients, who in the opinion of the investigator, are unlikely to comply with follow-up visits or other study requirements; patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Subject currently enrolled in any other clinical investigation or who has participated in any clinical investigation in the  days prior to starting this study.
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Patients who are currently part of or have participated in any clinical investigation with an investigational drug within  month prior to dosing
Current participation in another clinical investigation of a medical device or a drug or has participated in such a study within  days prior to study enrollment.
The patient participated in another clinical investigation within  days of enrollment or is receiving another investigational agent.
