EXCLUSION CRITERIA FOR SECOND-LINE THERAPY: Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke within the last 3 months, or a diagnosis of congestive heart failure
EXCLUSION CRITERIA FOR THIRD-LINE THERAPY: Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke within the last 3 months, or a diagnosis of congestive heart failure
Cardiovascular disease including unstable angina; therapy for life-threatening cardiac arrhythmia, myocardial infarction, stroke; or NYHA Class III or IV congestive heart failure within the last 3 months prior to initiation of study treatment
Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease problems including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Cardiovascular disease including unstable angina, therapy for life-threatening ventricular arrhythmia, or myocardial infarction, stroke, or congestive heart failure within the last 6 months
Subjects with reported unstable cardiovascular disease (e.g., unstable angina, myocardial infarction within past 6 months, cardiac failure or life-threatening arrhythmia, congestive heart failure) or symptomatic postural hypotension within 6 months before screening;
