Id,Names,Indications,Counter-Indications
/drug/id/961,"['Geref (Merck)', 'Gerel']",,"['Aspirin', 'Drugs affecting pituitary secretion of somatotropin', 'Glucocorticoids', 'Indomethacin', 'Insulin']"
/drug/id/565,"['Avocin', 'Ivacin', 'Picillin', 'Pipcil', 'Piperilline', 'Pipracil (Wyeth)', 'Pipril', 'Piprilin', 'Pitamycin', 'Zosyn (Wyeth)']",['Various infections caused by susceptible organisms'],"['Anisindione', 'Anticoagulants', 'Atracurium', 'Cisatracurium', 'Demeclocycline', 'Dicumarol', 'Doxacurium', 'Doxycycline', 'Imipenem/Cilastatin', 'Methotrexate', 'Minocycline', 'Non-depolarizing muscle relaxants', 'Oxytetracycline', 'Pancuronium', 'Rapacuronium', 'Reteplase', 'Tetracycline', 'Warfarin']"
/drug/id/3707,['Esbriet (Intermune)'],['Idiopathic pulmonary fibrosis'],"['Ciprofloxacin', 'Fluvoxamine']"
/drug/id/514,"['Emeset', 'Oncoden', 'Zofran (GSK)', 'Zofron', 'Zuplenz (Par)']",['Nausea and vomiting'],"['Apomorphine', 'Carbamazepine', 'Phenytoin', 'Ribociclib', 'Rifampin', 'Tramadol']"
/drug/id/626,['Pre-Par'],['Preterm labor'],['Glycopyrrolate']
/drug/id/2055,['Salonpas (Hisamitsu)'],['Pain'],"['Alcohol', 'Anticoagulants', 'Aspirin', 'Ibuprofen', 'Naproxen', 'Triamcinolone', 'Warfarin']"
/drug/id/178,"['Cholestagel (Genzyme)', 'Welchol (Sankyo)']","['Hypercholesterolemia', 'hyperlipidemia', 'Type II diabetes mellitus']","['Cyclosporine', 'Deferasirox', 'Estradiol', 'Glyburide', 'Levothyroxine', 'Olmesartan', 'Phenytoin', 'Warfarin']"
/drug/id/643,"['Atruline', 'Zoloft (Pfizer)']","['Depression', 'panic disorders', 'obsessive compulsive disorders']","['Amphetamines', 'Astemizole', 'Clarithromycin', 'Clozapine', 'Darunavir', 'Dextroamphetamine', 'Diethylpropion', 'Droperidol', 'Efavirenz', 'Erythromycin', 'Isocarboxazid', 'Linezolid', 'MAO inhibitors', 'Mazindol', 'Methamphetamine', 'Metoclopramide', 'Phendimetrazine', 'Phenelzine', 'Phentermine', 'Phenylpropanolamine', 'Pimozide', 'Pseudoephedrine', 'Selegiline', 'Sibutramine', ""St John\\'s Wort"", 'Sumatriptan', 'Sympathomimetics', 'Tranylcypromine', 'Trazodone', 'Troleandomycin', 'Zolmitriptan']"
/drug/id/4267,['Taltz (Lilly)'],"['Moderate-to-severe plaque psoriasis', 'active psoriatic arthritis']",['Live vaccines']
/drug/id/1148,['Luveris (Merck)'],['Infertility'],['None known']
