CUI,Drug,Indication
['237057'],lepirudin,for the treatment of heparininduced thrombocytopenia
['318341'],cetuximab,cetuximab used in combination with irinotecan is indicated for the treatment of egfrexpressing metastatic colorectal carcinoma in patients who are refractory to irinotecanbased chemotherapy cetuximab administered as a single agent is indicated for the treatment of egfrexpressing metastatic colorectal carcinoma in patients who are intolerant to irinotecanbased chemotherapy
['337623'],dornase alfa,used as adjunct therapy in the treatment of cystic fibrosis
['214470'],denileukin diftitox,for treatment of cutaneous tcell lymphoma
['214555'],etanercept,etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and chronic moderate to severe plaque psoriasis in adults it is also used to manage signs and symptoms of polyarticular idiopathic arthritis in those aged 4 to 17 after insufficient response to one or more diseasemodifying antirheumatic drugs etanercept is also used to improve psoriatic arthritis and ankylosing spondylitis
['60819'],bivalirudin,for treatment of heparininduced thrombocytopenia and for the prevention of thrombosis bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention pci in patients at moderate to high risk acute coronary syndromes due to unstable angina or nonst segment elevation in whom a pci is planned
['42375'],leuprolide,for treatment of prostate cancer endometriosis uterine fibroids and premature puberty
['120608'],peginterferon alfa2a,peginterferon alfa2a is indicated for the treatment of hcv in combination with other antiviral drugs in patients over 5 years of age with compensated liver disease fda label may be used as a monotherapy in patients with contraindications to or significant intolerance to other antiviral therapies peginterferon alfa2a is also indicated as a monotherapy for adult patients with hbeag positive and hbeag negative chronic hepatitis b infection who have compensated liver disease and evidence of viral replication and liver inflammation fda label
['8410'],alteplase,for management of acute myocardial infarction acute ischemic strok and for lysis of acute pulmonary emboli
['56188'],sermorelin,for the treatment of dwarfism prevention of hivinduced weight loss
['202912'],interferon alfan1,for treatment of venereal or genital warts caused by the human papiloma virus
['283838'],darbepoetin alfa,for the treatment of anemia from renal transplants or certain hiv treatment
['11055'],urokinase,urokinase can be used for the treatment of pulminary embolism coronary artery thrombosis iv catheter clearance and venous and arterial blood clots
['50610'],goserelin,used to treat hormonesensitive cancers of the breast in pre and peri menopausal women and prostate and some benign gynaecological disorders endometriosis uterine fibroids and endometrial thinning in addition goserelin is used in assisted reproduction and in the treatment of precocious puberty
['76895'],reteplase,for lysis of acute pulmonary emboli intracoronary emboli and management of myocardial infarction
"['105694', '105695']",erythropoietin,for use in the treatment of symptomatic anaemia associated with chronic renal failure crf in adult and paediatric patients also for use in the treatment of anaemia and reduction of transfusion requirements in adult patients receiving chemotherapy for solid tumours malignant lymphoma or multiple myeloma and at risk of transfusion as assessed by the patients general status eg cardiovascular status preexisting anaemia at the start of chemotherapy also for used to increase the yield of autologous blood from patients in a predonation program when administered subcutaneously epoetin zeta is equivalent to epoetin alfa in terms of clinical effectiveness
['36118'],salmon calcitonin,used in the treatment of symptomatic pagets disease for patients unresponsive to alternate treatments or intolerant to such treatments in addition it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified it can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide oral phosphate or corticosteroids or other agents calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves also for the treatment of postmenopausal osteoporosis in women more than 5 years postmenopause
['612937'],interferon alfan3,for the intralesional treatment of refractory or recurring external condylomata acuminata
['338036'],pegfilgrastim,increases leukocyte production for treatment in nonmyeloid cancer neutropenia and bone marrow transplant
