index,Class,Drug,generics
0,5-alpha-reductase inhibitors,Avodart,generic name: dutasteride
1,5-alpha-reductase inhibitors,Jalyn,generic name: dutasteride/tamsulosin
2,5-alpha-reductase inhibitors,Proscar,generic name: finasteride
3,5-alpha-reductase inhibitors,Propecia,generic name: finasteride
4,5-aminosalicylates,Asacol HD,generic name: mesalamine
5,5-aminosalicylates,Canasa,generic name: mesalamine
6,5-aminosalicylates,Salofalk,generic name: mesalamine
7,5-aminosalicylates,Pentasa,generic name: mesalamine
8,5-aminosalicylates,Delzicol,generic name: mesalamine
9,5-aminosalicylates,Lialda,generic name: mesalamine
10,5-aminosalicylates,Rowasa,generic name: mesalamine
11,5-aminosalicylates,Asacol,generic name: mesalamine
12,5-aminosalicylates,Azulfidine EN-tabs,generic name: sulfasalazine
13,5-aminosalicylates,Colazal,generic name: balsalazide
14,5-aminosalicylates,Apriso,generic name: mesalamine
15,5-aminosalicylates,Sulfazine,generic name: sulfasalazine
16,5-aminosalicylates,Canasa Pac,generic name: mesalamine
17,5-aminosalicylates,Azulfidine,generic name: sulfasalazine
18,5-aminosalicylates,Dipentum,generic name: olsalazine
19,5-aminosalicylates,Giazo,generic name: balsalazide
20,5-aminosalicylates,Mesasal Enteric Coated,generic name: mesalamine
21,5HT3 receptor antagonists,Aloxi,generic name: palonosetron
22,5HT3 receptor antagonists,Anzemet,generic name: dolasetron
23,5HT3 receptor antagonists,Kytril,generic name: granisetron
24,5HT3 receptor antagonists,Zofran,generic name: ondansetron
25,5HT3 receptor antagonists,Sancuso,generic name: granisetron
26,5HT3 receptor antagonists,Zofran ODT,generic name: ondansetron
27,5HT3 receptor antagonists,Granisol,generic name: granisetron
28,5HT3 receptor antagonists,Sustol,generic name: granisetron
29,5HT3 receptor antagonists,Zuplenz,generic name: ondansetron
30,ACE inhibitors with calcium channel blocking agents,Tarka,generic name: trandolapril/verapamil
31,ACE inhibitors with calcium channel blocking agents,Lotrel,generic name: amlodipine/benazepril
32,ACE inhibitors with calcium channel blocking agents,Amlobenz,generic name: amlodipine/benazepril
33,ACE inhibitors with calcium channel blocking agents,Lexxel,generic name: enalapril/felodipine
34,ACE inhibitors with calcium channel blocking agents,Prestalia,generic name: amlodipine/perindopril
35,ACE inhibitors with thiazides,Zestoretic,generic name: hydrochlorothiazide/lisinopril
36,ACE inhibitors with thiazides,Prinzide,generic name: hydrochlorothiazide/lisinopril
37,ACE inhibitors with thiazides,Uniretic,generic name: hydrochlorothiazide/moexipril
38,ACE inhibitors with thiazides,Accuretic,generic name: hydrochlorothiazide/quinapril
39,ACE inhibitors with thiazides,Capozide,generic name: captopril/hydrochlorothiazide
40,ACE inhibitors with thiazides,Capozide 25 / 15,generic name: captopril/hydrochlorothiazide
41,ACE inhibitors with thiazides,Capozide 25 / 25,generic name: captopril/hydrochlorothiazide
42,ACE inhibitors with thiazides,Capozide 50 / 15,generic name: captopril/hydrochlorothiazide
43,ACE inhibitors with thiazides,Capozide 50 / 25,generic name: captopril/hydrochlorothiazide
44,ACE inhibitors with thiazides,Lotensin HCT,generic name: benazepril/hydrochlorothiazide
45,ACE inhibitors with thiazides,Monopril HCT,generic name: fosinopril/hydrochlorothiazide
46,ACE inhibitors with thiazides,Quinaretic,generic name: hydrochlorothiazide/quinapril
47,ACE inhibitors with thiazides,Vaseretic,generic name: enalapril/hydrochlorothiazide
48,adamantane antivirals,Symmetrel,generic name: amantadine
49,adamantane antivirals,Flumadine,generic name: rimantadine
51,adrenal corticosteroid inhibitors,Cytadren,generic name: aminoglutethimide
52,adrenal corticosteroid inhibitors,Metopirone,generic name: metyrapone
53,adrenergic bronchodilators,EpiPen,generic name: epinephrine
54,adrenergic bronchodilators,Isuprel,generic name: isoproterenol
55,adrenergic bronchodilators,Serevent Diskus,generic name: salmeterol
56,adrenergic bronchodilators,Brovana,generic name: arformoterol
57,adrenergic bronchodilators,Primatene Mist,generic name: epinephrine
58,adrenergic bronchodilators,Xopenex HFA,generic name: levalbuterol
59,adrenergic bronchodilators,Alupent,generic name: metaproterenol
60,adrenergic bronchodilators,Maxair,generic name: pirbuterol
61,adrenergic bronchodilators,Proventil HFA,generic name: albuterol
62,adrenergic bronchodilators,Volmax,generic name: albuterol
63,adrenergic bronchodilators,Xopenex Concentrate,generic name: levalbuterol
64,adrenergic bronchodilators,Xopenex,generic name: levalbuterol
65,adrenergic bronchodilators,Foradil Aerolizer,generic name: formoterol
66,adrenergic bronchodilators,Brethine,generic name: terbutaline
67,adrenergic bronchodilators,Asthmanefrin,generic name: racepinephrine
68,adrenergic bronchodilators,Maxair Autohaler,generic name: pirbuterol
69,adrenergic bronchodilators,Proventil,generic name: albuterol
70,adrenergic bronchodilators,Ventolin,generic name: albuterol
71,adrenergic bronchodilators,Perforomist,generic name: formoterol
72,adrenergic bronchodilators,Ventolin HFA,generic name: albuterol
73,adrenergic bronchodilators,ProAir HFA,generic name: albuterol
74,adrenergic bronchodilators,Vospire ER,generic name: albuterol
75,adrenergic bronchodilators,Striverdi Respimat,generic name: olodaterol
76,adrenergic bronchodilators,ProAir RespiClick,generic name: albuterol
77,adrenergic bronchodilators,AccuNeb,generic name: albuterol
78,adrenergic bronchodilators,Adrenaclick,generic name: epinephrine
79,adrenergic bronchodilators,Adrenalin,generic name: epinephrine
80,adrenergic bronchodilators,Adrenalin Chloride,generic name: epinephrine
81,adrenergic bronchodilators,Arcapta,generic name: indacaterol
82,adrenergic bronchodilators,Auvi-Q,generic name: epinephrine
83,adrenergic bronchodilators,EpiPen 2-Pak,generic name: epinephrine
84,adrenergic bronchodilators,EpiPen Jr,generic name: epinephrine
85,adrenergic bronchodilators,EpiPen JR 2-Pak,generic name: epinephrine
86,adrenergic bronchodilators,EPIsnap,generic name: epinephrine
87,adrenergic bronchodilators,Medihaler-Epi,generic name: epinephrine
88,adrenergic bronchodilators,Medihaler-Iso,generic name: isoproterenol
89,adrenergic bronchodilators,S2 Inhalant,generic name: racepinephrine
90,adrenergic bronchodilators,Symjepi,generic name: epinephrine
91,adrenergic bronchodilators,Twinject,generic name: epinephrine
92,agents for hypertensive emergencies,Proglycem,generic name: diazoxide
93,agents for hypertensive emergencies,Corlopam,generic name: fenoldopam
94,agents for hypertensive emergencies,Hyperstat,generic name: diazoxide
95,agents for hypertensive emergencies,Nipride RTU,generic name: nitroprusside
96,agents for hypertensive emergencies,Nitropress,generic name: nitroprusside
97,agents for pulmonary hypertension,Opsumit,generic name: macitentan
98,agents for pulmonary hypertension,Letairis,generic name: ambrisentan
99,agents for pulmonary hypertension,Ventavis,generic name: iloprost
100,agents for pulmonary hypertension,Tyvaso,generic name: treprostinil
101,agents for pulmonary hypertension,Flolan,generic name: epoprostenol
102,agents for pulmonary hypertension,Tracleer,generic name: bosentan
103,agents for pulmonary hypertension,Revatio,generic name: sildenafil
104,agents for pulmonary hypertension,Adcirca,generic name: tadalafil
105,agents for pulmonary hypertension,Remodulin,generic name: treprostinil
106,agents for pulmonary hypertension,Uptravi,generic name: selexipag
107,agents for pulmonary hypertension,Veletri,generic name: epoprostenol
108,aldosterone receptor antagonists,Inspra,generic name: eplerenone
109,aldosterone receptor antagonists,Aldactone,generic name: spironolactone
110,aldosterone receptor antagonists,CaroSpir,generic name: spironolactone
111,alkylating agents,Ifex,generic name: ifosfamide
