"DrugClass_DrugClass_name","DrugClass_DrugClass_drugNames_name","DrugClass_DrugClass_drugNames_generic"
"5-alpha-reductase inhibitors","Avodart","generic name: dutasteride"
"5-alpha-reductase inhibitors","Jalyn","generic name: dutasteride/tamsulosin"
"5-alpha-reductase inhibitors","Proscar","generic name: finasteride"
"5-alpha-reductase inhibitors","Propecia","generic name: finasteride"
"5-aminosalicylates","Asacol HD","generic name: mesalamine"
"5-aminosalicylates","Canasa","generic name: mesalamine"
"5-aminosalicylates","Salofalk","generic name: mesalamine"
"5-aminosalicylates","Pentasa","generic name: mesalamine"
"5-aminosalicylates","Delzicol","generic name: mesalamine"
"5-aminosalicylates","Lialda","generic name: mesalamine"
"5-aminosalicylates","Rowasa","generic name: mesalamine"
"5-aminosalicylates","Asacol","generic name: mesalamine"
"5-aminosalicylates","Azulfidine EN-tabs","generic name: sulfasalazine"
"5-aminosalicylates","Colazal","generic name: balsalazide"
"5-aminosalicylates","Apriso","generic name: mesalamine"
"5-aminosalicylates","Sulfazine","generic name: sulfasalazine"
"5-aminosalicylates","Canasa Pac","generic name: mesalamine"
"5-aminosalicylates","Azulfidine","generic name: sulfasalazine"
"5-aminosalicylates","Dipentum","generic name: olsalazine"
"5-aminosalicylates","Giazo","generic name: balsalazide"
"5-aminosalicylates","Mesasal Enteric Coated","generic name: mesalamine"
"5HT3 receptor antagonists","Aloxi","generic name: palonosetron"
"5HT3 receptor antagonists","Anzemet","generic name: dolasetron"
"5HT3 receptor antagonists","Kytril","generic name: granisetron"
"5HT3 receptor antagonists","Zofran","generic name: ondansetron"
"5HT3 receptor antagonists","Sancuso","generic name: granisetron"
"5HT3 receptor antagonists","Zofran ODT","generic name: ondansetron"
"5HT3 receptor antagonists","Granisol","generic name: granisetron"
"5HT3 receptor antagonists","Sustol","generic name: granisetron"
"5HT3 receptor antagonists","Zuplenz","generic name: ondansetron"
"ACE inhibitors with calcium channel blocking agents","Tarka","generic name: trandolapril/verapamil"
"ACE inhibitors with calcium channel blocking agents","Lotrel","generic name: amlodipine/benazepril"
"ACE inhibitors with calcium channel blocking agents","Amlobenz","generic name: amlodipine/benazepril"
"ACE inhibitors with calcium channel blocking agents","Lexxel","generic name: enalapril/felodipine"
"ACE inhibitors with calcium channel blocking agents","Prestalia","generic name: amlodipine/perindopril"
"ACE inhibitors with thiazides","Zestoretic","generic name: hydrochlorothiazide/lisinopril"
"ACE inhibitors with thiazides","Prinzide","generic name: hydrochlorothiazide/lisinopril"
"ACE inhibitors with thiazides","Uniretic","generic name: hydrochlorothiazide/moexipril"
"ACE inhibitors with thiazides","Accuretic","generic name: hydrochlorothiazide/quinapril"
"ACE inhibitors with thiazides","Capozide","generic name: captopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Capozide 25 / 15","generic name: captopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Capozide 25 / 25","generic name: captopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Capozide 50 / 15","generic name: captopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Capozide 50 / 25","generic name: captopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Lotensin HCT","generic name: benazepril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Monopril HCT","generic name: fosinopril/hydrochlorothiazide"
"ACE inhibitors with thiazides","Quinaretic","generic name: hydrochlorothiazide/quinapril"
"ACE inhibitors with thiazides","Vaseretic","generic name: enalapril/hydrochlorothiazide"
"adamantane antivirals","Symmetrel","generic name: amantadine"
"adamantane antivirals","Flumadine","generic name: rimantadine"
"adrenal cortical steroids","",""
"adrenal corticosteroid inhibitors","Cytadren","generic name: aminoglutethimide"
"adrenal corticosteroid inhibitors","Metopirone","generic name: metyrapone"
"adrenergic bronchodilators","EpiPen","generic name: epinephrine"
"adrenergic bronchodilators","Isuprel","generic name: isoproterenol"
"adrenergic bronchodilators","Serevent Diskus","generic name: salmeterol"
"adrenergic bronchodilators","Brovana","generic name: arformoterol"
"adrenergic bronchodilators","Primatene Mist","generic name: epinephrine"
"adrenergic bronchodilators","Xopenex HFA","generic name: levalbuterol"
"adrenergic bronchodilators","Alupent","generic name: metaproterenol"
"adrenergic bronchodilators","Maxair","generic name: pirbuterol"
"adrenergic bronchodilators","Proventil HFA","generic name: albuterol"
"adrenergic bronchodilators","Volmax","generic name: albuterol"
"adrenergic bronchodilators","Xopenex Concentrate","generic name: levalbuterol"
"adrenergic bronchodilators","Xopenex","generic name: levalbuterol"
"adrenergic bronchodilators","Foradil Aerolizer","generic name: formoterol"
"adrenergic bronchodilators","Brethine","generic name: terbutaline"
"adrenergic bronchodilators","Asthmanefrin","generic name: racepinephrine"
"adrenergic bronchodilators","Maxair Autohaler","generic name: pirbuterol"
"adrenergic bronchodilators","Proventil","generic name: albuterol"
"adrenergic bronchodilators","Ventolin","generic name: albuterol"
"adrenergic bronchodilators","Perforomist","generic name: formoterol"
"adrenergic bronchodilators","Ventolin HFA","generic name: albuterol"
"adrenergic bronchodilators","ProAir HFA","generic name: albuterol"
"adrenergic bronchodilators","Vospire ER","generic name: albuterol"
"adrenergic bronchodilators","Striverdi Respimat","generic name: olodaterol"
"adrenergic bronchodilators","ProAir RespiClick","generic name: albuterol"
"adrenergic bronchodilators","AccuNeb","generic name: albuterol"
"adrenergic bronchodilators","Adrenaclick","generic name: epinephrine"
"adrenergic bronchodilators","Adrenalin","generic name: epinephrine"
"adrenergic bronchodilators","Adrenalin Chloride","generic name: epinephrine"
"adrenergic bronchodilators","Arcapta","generic name: indacaterol"
"adrenergic bronchodilators","Auvi-Q","generic name: epinephrine"
"adrenergic bronchodilators","EpiPen 2-Pak","generic name: epinephrine"
"adrenergic bronchodilators","EpiPen Jr","generic name: epinephrine"
"adrenergic bronchodilators","EpiPen JR 2-Pak","generic name: epinephrine"
"adrenergic bronchodilators","EPIsnap","generic name: epinephrine"
"adrenergic bronchodilators","Medihaler-Epi","generic name: epinephrine"
"adrenergic bronchodilators","Medihaler-Iso","generic name: isoproterenol"
"adrenergic bronchodilators","S2 Inhalant","generic name: racepinephrine"
"adrenergic bronchodilators","Symjepi","generic name: epinephrine"
"adrenergic bronchodilators","Twinject","generic name: epinephrine"
"agents for hypertensive emergencies","Proglycem","generic name: diazoxide"
"agents for hypertensive emergencies","Corlopam","generic name: fenoldopam"
"agents for hypertensive emergencies","Hyperstat","generic name: diazoxide"
"agents for hypertensive emergencies","Nipride RTU","generic name: nitroprusside"
"agents for hypertensive emergencies","Nitropress","generic name: nitroprusside"
"agents for pulmonary hypertension","Opsumit","generic name: macitentan"
"agents for pulmonary hypertension","Letairis","generic name: ambrisentan"
"agents for pulmonary hypertension","Ventavis","generic name: iloprost"
"agents for pulmonary hypertension","Tyvaso","generic name: treprostinil"
"agents for pulmonary hypertension","Flolan","generic name: epoprostenol"
"agents for pulmonary hypertension","Tracleer","generic name: bosentan"
"agents for pulmonary hypertension","Revatio","generic name: sildenafil"
"agents for pulmonary hypertension","Adcirca","generic name: tadalafil"
"agents for pulmonary hypertension","Remodulin","generic name: treprostinil"
"agents for pulmonary hypertension","Uptravi","generic name: selexipag"
"agents for pulmonary hypertension","Veletri","generic name: epoprostenol"
"aldosterone receptor antagonists","Inspra","generic name: eplerenone"
"aldosterone receptor antagonists","Aldactone","generic name: spironolactone"
"aldosterone receptor antagonists","CaroSpir","generic name: spironolactone"
"alkylating agents","Ifex","generic name: ifosfamide"
"alkylating agents","Myleran","generic name: busulfan"
"alkylating agents","Cytoxan","generic name: cyclophosphamide"
"alkylating agents","Treanda","generic name: bendamustine"
"alkylating agents","Paraplatin","generic name: carboplatin"
"alkylating agents","Leukeran","generic name: chlorambucil"
"alkylating agents","Neosar","generic name: cyclophosphamide"
"alkylating agents","Platinol","generic name: cisplatin"
"alkylating agents","Temodar","generic name: temozolomide"
"alkylating agents","Alkeran","generic name: melphalan"
"alkylating agents","Busulfex","generic name: busulfan"
"alkylating agents","Bendeka","generic name: bendamustine"
"alkylating agents","BiCNU","generic name: carmustine"
"alkylating agents","CCNSB Capsules","generic name: lomustine"
"alkylating agents","CeeNU","generic name: lomustine"
"alkylating agents","Cytoxan Lyophilized","generic name: cyclophosphamide"
"alkylating agents","DTIC-Dome","generic name: dacarbazine"
"alkylating agents","Eloxatin","generic name: oxaliplatin"
"alkylating agents","Evomela","generic name: melphalan"
"alkylating agents","Gleostine","generic name: lomustine"
"alkylating agents","Gliadel","generic name: carmustine"
"alkylating agents","Mustargen","generic name: mechlorethamine"
"alkylating agents","Platinol-AQ","generic name: cisplatin"
"alkylating agents","Tepadina","generic name: thiotepa"
"alkylating agents","Thioplex","generic name: thiotepa"
"alkylating agents","Yondelis","generic name: trabectedin"
"alkylating agents","Zanosar","generic name: streptozocin"
"allergenics","Grastek","generic name: timothy grass pollen allergen extract"
"allergenics","Odactra","generic name: house dust mite allergen extract"
"allergenics","Oralair","generic name: mixed grass pollens allergen extract"
"allergenics","Ragwitek","generic name: ragweed pollen allergen extract"
"alpha-glucosidase inhibitors","Glyset","generic name: miglitol"
"alpha-glucosidase inhibitors","Precose","generic name: acarbose"
"alternative medicines","",""
"amebicides","Alinia","generic name: nitazoxanide"
"amebicides","Aralen Phosphate","generic name: chloroquine"
"amebicides","Paromycin","generic name: paromomycin"
"amebicides","Flagyl ER","generic name: metronidazole"
"amebicides","Flagyl","generic name: metronidazole"
"amebicides","Tindamax","generic name: tinidazole"
"amebicides","Flagyl IV","generic name: metronidazole"
"amebicides","Humatin","generic name: paromomycin"
"amebicides","Aralen","generic name: chloroquine"
"amebicides","Diquinol","generic name: iodoquinol"
"amebicides","Flagyl 375","generic name: metronidazole"
"amebicides","Solosec","generic name: secnidazole"
"amebicides","Yodoxin","generic name: iodoquinol"
"aminoglycosides","Paromycin","generic name: paromomycin"
"aminoglycosides","Tobi","generic name: tobramycin"
"aminoglycosides","Garamycin","generic name: gentamicin"
"aminoglycosides","Humatin","generic name: paromomycin"
"aminoglycosides","Amikin","generic name: amikacin"
"aminoglycosides","Amikin Pediatric","generic name: amikacin"
"aminoglycosides","Bethkis","generic name: tobramycin"
"aminoglycosides","Kantrex","generic name: kanamycin"
"aminoglycosides","Kitabis Pak","generic name: tobramycin"
"aminoglycosides","Nebcin","generic name: tobramycin"
"aminoglycosides","Neo-Fradin","generic name: neomycin"
"aminoglycosides","Neo-Tab","generic name: neomycin"
"aminoglycosides","TOBI Podhaler","generic name: tobramycin"
"aminopenicillins","Amoxicot","generic name: amoxicillin"
"aminopenicillins","Principen","generic name: ampicillin"
"aminopenicillins","Moxatag","generic name: amoxicillin"
"aminopenicillins","Moxilin","generic name: amoxicillin"
"aminopenicillins","Totacillin-N","generic name: ampicillin"
"aminopenicillins","Amoxil","generic name: amoxicillin"
"aminopenicillins","Apo-Amoxi","generic name: amoxicillin"
"aminopenicillins","DisperMox","generic name: amoxicillin"
"aminopenicillins","Omnipen-N","generic name: ampicillin"
"aminopenicillins","Trimox","generic name: amoxicillin"
"aminosalicylates","Paser","generic name: aminosalicylic acid"
"AMPA receptor antagonists","Fycompa","generic name: perampanel"
"amylin analogs","SymlinPen 60","generic name: pramlintide"
"amylin analogs","Symlin","generic name: pramlintide"
"amylin analogs","Symlin Pen","generic name: pramlintide"
"amylin analogs","SymlinPen 120","generic name: pramlintide"
"analgesic combinations","Goody's Body Pain","generic name: acetaminophen/aspirin"
"analgesic combinations","KneeRelief","generic name: acetaminophen/caffeine/magnesium salicylate"
"analgesic combinations","Micrainin","generic name: aspirin/meprobamate"
"analgesic combinations","Phrenilin","generic name: acetaminophen/butalbital"
"analgesic combinations","Vanquish","generic name: acetaminophen/aspirin/caffeine"
"analgesic combinations","BC Fast Pain Relief","generic name: aspirin/caffeine/salicylamide"
"analgesic combinations","Esgic","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","MigraTen","generic name: acetaminophen/caffeine/isometheptene mucate"
"analgesic combinations","Esgic-Plus","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Percogesic","generic name: acetaminophen/phenyltoloxamine"
"analgesic combinations","Bupap","generic name: acetaminophen/butalbital"
"analgesic combinations","Excedrin Quick Tab","generic name: acetaminophen/caffeine"
"analgesic combinations","Midol Complete","generic name: acetaminophen/caffeine/pyrilamine"
"analgesic combinations","Painaid","generic name: acetaminophen/aspirin/caffeine/salicylamide"
"analgesic combinations","Premsyn PMS","generic name: acetaminophen/pamabrom/pyrilamine"
"analgesic combinations","Zebutal","generic name: acetaminophen/butalbital/caffeine"
"analgesic combinations","Butalbital Compound","generic name: aspirin/butalbital/caffeine"
"analgesic combinations","Fioricet","generic name: acetaminophen/butalbital/caffeine"
