,insulin lispro protamine (rDNA origin)/insulin lispro (rDNA origin),"***For the treatment of type 1 diabetes mellitus or for type 2 diabetes mellitus inadequately managed by diet, exercise, and oral hypoglycemics. <br />        NOTE: A consensus algorithm issued by the ADA and the European Association for the Study of Diabetes lists basal or intermediate-acting insulin as a second line or third line agent in patients with type 2 diabetes not controlled on oral drugs; metformin is the initial recommended therapy in all type 2 diabetics without contraindications. Once insulin is added, therapy can be intensified (e.g., addition of prandial insulin) to achieve optimal glycemic control. In patients that are receiving a sulfonylurea, the sulfonylurea should be discontinued when insulin therapy is initiated.<br />     ***Formoterol; Mometasone","***General Information***Diarrhea, fever, infection, surgery, thyroid disease, trauma, vomiting***Hepatic disease, renal failure, renal impairment***Coma, continuous subcutaneous insulin infusion (CSII) administration, diabetic ketoacidosis, hyperosmolar hyperglycemic state (HHS), intravenous administration***Hypoglycemia***Hypokalemia***Cresol hypersensitivity***Labor, obstetric delivery, pregnancy***Breast-feeding***Children, infants***Tobacco smoking***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"['306266', '1546027']",entecavir,"***For the treatment of chronic hepatitis B infection in patients with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (AST or ALT) or histologically active disease.***For the treatment of chronic hepatitis B in nucleoside-treatment-naive patients with compensated liver disease.***For treatment of chronic hepatitis B in patients with compensated liver disease and a history of hepatitis B viremia while receiving lamivudine or with known lamivudine or telbivudine resistance mutations (rtM204I/V with or without rtL180M, rtL80I/V, or rtV173L).***For the treatment of chronic hepatitis B in patients coinfected with HIV�. <br />          NOTE: Per HIV treatment guidelines, patients who are coinfected with hepatitis B virus (HBV) and human immunodeficiency virus (HIV), and who are unable to receive tenofovir, may use entecavir as an alternative; however, entecavir must be use in combination with a fully suppressive antiretroviral treatment regimen that includes either lamivudine or emtricitabine. HIV and HBV resistance may develop in a coinfected patient who is not receiving HAART and is taking entecavir. <br />       ***For the treatment of chronic hepatitis B in patients with decompensated liver disease.","***Hepatitis B exacerbation***Hepatitis B and HIV coinfection, human immunodeficiency virus (HIV) infection***Organ transplant***Females, hepatic disease, hepatotoxicity or lactic acidosis, obesity***Dialysis, geriatric, renal failure, renal impairment***Children, infants, neonates***Breast-feeding***Pregnancy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['60212'],atovaquone,"***For the treatment of acute, mild to moderately-severe Pneumocystis pneumonia (PCP) infections in patients who do not tolerate trimethoprim-sulfamethoxazole.***For primary or secondary Pneumocystis pneumonia (PCP) prophylaxis.***For the acute treatment of toxoplasmic encephalitis� (toxoplasmosis�) due to <em>Toxoplasma gondii</em> in HIV-infected patients. <br />        NOTE: The FDA has designated atovaquone as an orphan drug for this indication.<br />     ***For toxoplasmosis prophylaxis�, specifically toxoplasmic encephalitis (TE), in HIV-infected patients. <br />        NOTE: The FDA has designated atovaquone as an orphan drug for this indication.<br />     ***For primary toxoplasmosis prophylaxis� in HIV-infected patients.***For secondary toxoplasmosis prophylaxis� (i.e., prevention of recurrent disease) in HIV-infected patients.***For the treatment of babesiosis� in combination with azithromycin.","***General Information***GI disease***Infection, respiratory insufficiency***Pregnancy***Breast-feeding***Benzyl alcohol hypersensitivity, neonates***Hepatic disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['358274'],ambrisentan,***For improvement in exercise ability and delay in clinical worsening in patients with WHO Group I pulmonary hypertension (PAH).,"***Hepatic disease, hepatitis***Anemia***Geriatric, peripheral edema***Pulmonary edema, veno-occlusive disease (VOD)***Pulmonary fibrosis***Pregnancy***Breast-feeding***Contraception requirements, infertility, pregnancy testing, reproductive risk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['60548'],exenatide,***For the treatment of type 2 diabetes mellitus in combination with diet and exercise.,"***General Information***Diabetic ketoacidosis, type 1 diabetes mellitus***Burns, diarrhea, fever, infection, surgery, thyroid disease, trauma, vomiting***Crohn's disease, gastroparesis, GI disease, inflammatory bowel disease, ulcerative colitis***Hypoglycemia***Dehydration, dialysis, kidney transplant, renal disease, renal failure, renal impairment***Tobacco smoking***Pregnancy***Breast-feeding***Children, infants***Pancreatitis***Medullary thyroid carcinoma (MTC), multiple endocrine neoplasia syndrome type 2 (MEN 2), thyroid cancer, thyroid C-cell tumors***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['9639'],selegiline,***For the treatment of Parkinson's disease or parkinsonism in combination with levodopa or levodopa/carbidopa.***For the treatment of major depression.,"***General Information***MAOI therapy***Alcoholism, ethanol ingestion, hypertension, hypertensive crisis***Pheochromocytoma***Children, suicidal ideation***Bipolar disorder, mania***Behavioral changes, psychosis, schizophrenia***Impulse control symptoms***Hypotension, orthostatic hypotension***Hepatic disease***Renal failure, renal impairment***Melanoma***Driving or operating machinery***Abrupt discontinuation***Pregnancy***Breast-feeding***Geriatric***Phenylketonuria***Ambient temperature increase, heating pad, sunlight (UV) exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['3407'],digoxin,"***For ventricular rate control in patients with chronic atrial fibrillation and/or atrial flutter�; or for the treatment of narrow-complex paroxysmal supraventricular tachycardia (PSVT)� or for paroxysmal supraventricular tachycardia (PSVT) prophylaxis� in patients without a delta wave on ECG during sinus rhythm; or for the treatment of congestive heart failure. <br />        NOTE: In patients with undetectable serum digoxin concentrations, the total loading dose should be based on lean body weight and clinical response, and divided into several doses administered at 4- to 8-hour intervals. Higher doses (i.e., concentrations) may be required for treating arrhythmias than for treating heart failure. Patients with moderate-severe renal insufficiency should receive smaller loading doses than patients with normal renal function due to a reduced volume of distribution.<br />NOTE: Maintenance doses should be based on lean body weight, clinical response, and renal function. Higher doses (i.e., concentrations) may be required for treating arrhythmias than for treating heart failure. Lower doses should be considered for geriatric patients, patients with impaired renal function, and in patients whose lean weight is an abnormally small fraction of their total body mass because of obesity or edema. In 1 small study of men with NYHA class II or III heart failure who were in normal sinus rhythm, left ventricular function improved significantly on a dose of 0.125 mg/day that produced mean serum concentrations of 0.8 ng/mL but doses of 0.25 mg/day and corresponding higher concentrations of 1.5 ng/mL did not produce further improvement over the lower dosage. In another small study of men with NYHA class II or III heart failure who were in normal sinus rhythm, left ventricular ejection fraction improved significantly when digoxin was increased from a mean dose of 0.2 mg/day (mean trough 0.67 ng/mL) to a mean dose of 0.39 mg/day (mean trough 1.22 ng/mL); however, no significant changes were observed in heart failure score or exercise tolerance***For the transplacental treatment of fetal supraventricular tachyarrhythmias�.","***Acute myocardial infarction, Adams-Stokes syndrome, AV block, bradycardia, cardiomyopathy, cor pulmonale, hyperthyroidism, hypothyroidism, hypoxemia, myocarditis, myxedema, pulmonary disease, sick sinus syndrome***Carotid sinus hypersensitivity, ventricular arrhythmias, ventricular fibrillation, ventricular tachycardia, Wolff-Parkinson-White syndrome***Renal disease, renal failure, renal impairment***Geriatric***Hepatic disease***Constrictive pericarditis, idiopathic hypertrophic subaortic stenosis***Electrolyte imbalance, hypercalcemia, hyperkalemia, hypocalcemia, hypokalemia, hypomagnesemia***Hypertension***Infants, neonates, premature neonates***Pregnancy***Breast-feeding***Diarrhea, malabsorption syndrome***Intramuscular administration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,valacyclovir hydrochloride,"***For the treatment of herpes simplex virus infection, including herpes labialis and herpes genitalis, and including HIV-infected patients�.***For the treatment of herpes labialis (i.e., cold sores).***For the treatment of initial episode of herpes genitalis.***For the treatment of recurrent herpes genitalis, including HIV-infected patients�.***For the treatment of herpes zoster (shingles) infection. <br />  NOTE: Valacyclovir is not approved for the treatment of disseminated herpes zoster infections.<br /***For the treatment of varicella (chickenpox) infection.***For the treatment of acute retinal necrosis (ARN)� due to varicella-zoster virus in HIV-infected patients.***For herpes genitalis prophylaxis or for secondary herpes simplex infection prophylaxis�.***For suppressive therapy of recurrent herpes genitalis in all patients or for secondary herpes simplex infection prophylaxis� in HIV-patients for frequent or severe recurrences.***For the reduction of transmission of genital herpes to an immunocompetent uninfected sex partner, in immunocompetent patients with a history of 9 or fewer recurrences per year.***For primary cytomegalovirus (CMV) disease prophylaxis�.***For primary cytomegalovirus (CMV) disease prophylaxis� in patients after kidney transplantation.***For primary cytomegalovirus (CMV) disease prophylaxis� in patients after bone marrow transplantation.***For primary cytomegalovirus (CMV) disease prophylaxis� in patients after heart transplantation.***For the treatment and prophylaxis of encephalitis� due to B virus (cercopithecine herpesvirus) infection�.***For the adjunctive treatment of Bell's palsy� in combination with steroids.***For post-exposure varicella (chickenpox) infection prophylaxis� to prevent primary infection in HIV-infected patients.","***Acyclovir hypersensitivity, famciclovir hypersensitivity, ganciclovir hypersensitivity, penciclovir hypersensitivity, valacyclovir hypersensitivity, valganciclovir hypersensitivity***Renal failure, renal impairment***Geriatric***Dehydration***Children, infants, neonates***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['4083'],drospirenone/ethinyl estradiol,"***For routine contraception.***For the treatment of acne vulgaris in women who also desire oral contraception.***For the treatment of premenstrual dysphoric disorder (PMDD) in women who also desire oral contraception.***For the treatment of endometriosis� to induce endometrial involution to a 'resting' phase and reduce the size and growth of endometrial tissue in females with no contraindications to hormonal contraceptives, who have achieved menarche and desire contraception.***For the treatment or adjuvant treatment of conditions such as amenorrhea�, hirsutism�, or polycystic ovary syndrome� related to hypoestrogenic or hyperandrogenic conditions in females who desire oral contraception.***Formoterol; Mometasone","***Acquired immunodeficiency syndrome (AIDS), human immunodeficiency virus (HIV) infection***Adrenal insufficiency, electrolyte imbalance, hyperkalemia, renal disease, renal failure, renal impairment***Pregnancy***Cholestasis, gallbladder disease, hepatic disease, hepatitis, hepatocellular cancer, jaundice, porphyria***Breast-feeding, obstetric delivery***Obesity***Diabetes mellitus***Hyperlipidemia, hypertriglyceridemia, pancreatitis***Atrial fibrillation, cerebrovascular disease, coronary artery disease, coronary thrombosis, endocarditis, hypercholesterolemia, hypertension, myocardial infarction, protein C deficiency, protein S deficiency, stroke, thromboembolic disease, thromboembolism, thrombophlebitis, tobacco smoking, valvular heart disease***Systemic lupus erythematosus (SLE)***Surgery***Headache, migraine***Depression***Contact lenses, glaucoma, visual disturbance***Children***Breast cancer***Hypercalcemia***Cervical cancer***Endometrial cancer, ovarian cancer, uterine cancer, vaginal bleeding, vaginal cancer***Hypothyroidism, thyroid disease***Chloasma***Angioedema, hereditary angioedema",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,U-500) (insulin human,"***For the treatment of type 1 diabetes mellitus or for type 2 diabetes mellitus inadequately managed by diet, exercise, and oral hypoglycemics.***For the treatment of gestational diabetes or for the treatment of patients with pre-existing diabetes mellitus (Type 1 or type 2) who are now pregnant.***For pregnant patients with gestational-onset diabetes not controlled by diet-therapy alone.***For pregnant patients with preexisting diabetes prior to pregnancy.***For the treatment of diabetic ketoacidosis (DKA).***For the treatment of hyperosmolar hyperglycemic state (HHS) in patients with type 2 diabetes mellitus.***For the treatment of neonatal diabetes mellitus�.***For nutritional supplementation� to maintain normoglycemia in very low birthweight infants with persistent glucose intolerance, including those neonates on parenteral nutrition with persistent glucose intolerance.***For the treatment of hyperkalemia�.***Formoterol; Mometasone","***Diarrhea, fever, infection, surgery, thyroid disease, trauma, vomiting***Hepatic disease, renal failure, renal impairment***Intramuscular administration, intravenous administration***Continuous subcutaneous insulin infusion (CSII) administration***Hypoglycemia***Hypokalemia***Cresol hypersensitivity***Labor, neonates, obstetric delivery, pregnancy***Breast-feeding***Children, infants***Tobacco smoking***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,salmeterol xinafoate,"***For the maintenance prevention of bronchospasm (e.g., bronchospasm prophylaxis) in patients with asthma.***For the treatment of asthma, including nocturnal asthma symptoms, in patients receiving optimum treatment with antiinflammatory asthma agents and who still require a inhaled beta-adrenergic bronchodilator on a regular schedule.***For exercise-induced bronchospasm prophylaxis.***For the maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease (COPD) including emphysema and chronic bronchitis.***For altitude sickness prophylaxis<strong>***Formoterol***Formoterol; Mometasone","***General Information***Monotherapy treatment of asthma***Milk protein hypersensitivity***Acute bronchospasm, asthma-related death, status asthmaticus***Alcoholism, bradycardia, cardiac arrhythmias, cardiac disease, coronary artery disease, females, heart failure, hypertension, hypocalcemia, hypokalemia, hypomagnesemia, malnutrition, myocardial infarction, QT prolongation, tachycardia***Diabetes mellitus, hyperthyroidism, pheochromocytoma, seizure disorder, seizures, thyroid disease, thyrotoxicosis***Labor, pregnancy***Breast-feeding***Children, infants***Hepatic disease***Paradoxical bronchospasm***MAOI therapy***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,triamcinolone acetonide,"***For bronchospasm prophylaxis or maintenance therapy in patients who require chronic treatment with corticosteroids for control of bronchial asthma.***For the treatment of severe or incapacitating allergic conditions such as asthma that are intractable to adequate trials of conventional treatment.***For the treatment of symptoms of seasonal and perennial allergic rhinitis.***For the treatment of severe or incapacitating allergic conditions that are intractable to adequate trials of conventional treatment.***For the treatment of ocular inflammation (i.e., sympathetic ophthalmia and ocular inflammatory conditions unresponsive to topical corticosteroids), temporal arteritis, and uveitis.***For visualization during ocular surgery (i.e., vitrectomy).***For the treatment of acute rheumatic carditis, berylliosis, temporal arteritis�, or systemic lupus erythematosus (SLE). <br />        NOTE: For many conditions, the dosing of corticosteroids is highly variable; the following general dosing recommendations apply.<br />     ***For the treatment of pruritus and topical inflammation associated with moderate to severe corticosteroid-responsive dermatoses (e.g., alopecia areata, atopic dermatitis, contact dermatitis including <em>Rhus dermatitis</em> due to poison ivy, poison oak, poison sumac, subacute cutaneous or discoid lupus erythematosus, eczema, exfoliative dermatitis, insect bites or stings, granuloma annulare, keloids, lichen striatus, lichen planus, lichen simplex chronicus, mycosis fungoides, necrobiosis lipoidica diabeticorum, pemphigus, pityriasis rosea, polymorphous light eruption, psoriasis, sarcoidosis, seborrheic dermatitis, sunburn, or xerosis). <br />        NOTE: Occlusive dressings may be necessary for chronic or severe cases of psoriasis or other recalcitrant conditions.<br />     ***For the treatment of ulcerative or inflammatory oral lesions including aphthous ulcer, desquamative gingivitis�, and oral lichen planus�.***For the treatment of severe or incapacitating allergic conditions such as atopic dermatitis, contact dermatitis, drug hypersensitivity reactions, serum sickness, transfusion reactions, bullous dermatitis herpetiformis, exfoliative erythroderma, mycosis fungoides, pemphigus, severe erythema multiforme (Stevens-Johnson syndrome) that are intractable to adequate trials of conventional treatment and for the treatment of idiopathic eosinophilic pneumonias.***For the treatment of symptomatic sarcoidosis.***For the treatment of primary (Addison's disease) or secondary adrenocortical insufficiency. <br />        NOTE: Hydrocortisone and cortisone are the preferred agents for these conditions.<br />     ***For the treatment of congenital adrenal hyperplasia.***For the treatment of hypercalcemia associated with cancer.***For the treatment of nonsuppurative thyroiditis.***For the treatment of a critical period of regional enteritis and ulcerative colitis.***For the treatment of autoimmune hemolytic anemia, Diamond-Blackfan anemia, pure red cell aplasia, or selected cases of secondary thrombocytopenia.***For the treatment of trichinosis with neurologic or myocardial involvement.***For the treatment of complicated or disseminated pulmonary tuberculosis infection (i.e., tuberculous meningitis and pericarditis) as adjunctive therapy in combination with antituberculous therapy.***For the treatment of acute exacerbations of multiple sclerosis. <br />        NOTE: Corticosteroids are effective in speeding the resolution of acute exacerbations, but they do not affect the ultimate outcome or natural history of the disease.<br />     ***For the treatment of cerebral edema associated with primary or metastatic brain tumor, craniotomy, or head injury.***For the treatment of proteinuria or to induce diuresis in idiopathic nephrotic syndrome or lupus erythematosus.***For the treatment of an acute episode or exacerbation of ankylosing spondylitis, psoriatic arthritis, and juvenile rheumatoid arthritis (JRA)/juvenile idiopathic arthritis (JIA) as adjunctive therapy for short-term administration.***For the treatment of dermatomyositis or polymyositis.***For the relief of inflammation and for immunosuppression associated with a variety of disorders, like Hodgkin lymphoma. <br />        NOTE: For many conditions, the dosing of corticosteroids is highly variable; the following general dosing recommendations apply.<br />     ***For the palliative treatment of leukemias and lymphomas.***For the treatment of chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (ITP).***For the treatment of diabetic macular edema�.***For the relief of inflammation associated with synovitis of osteoarthritis; rheumatoid arthritis; acute and subacute bursitis; gout with acute gouty arthritis; epicondylitis; acute non-specific tenosynovitis; polychondritis�; posttraumatic osteoarthritis. <br />        NOTE: For many conditions, the dosing of corticosteroids is highly variable; the following general dosing recommendations apply.<br />     ***For the treatment of osteoarthritis pain of the knee. <br />  NOTE: Zilretta is not interchangeable with other formulations of triamcinolone acetonide.<br /","***Epidural administration, intramuscular administration, intrathecal administration, intravenous administration, subcutaneous administration***Acute bronchospasm, status asthmaticus***Abrupt discontinuation, adrenal insufficiency, Cushing's syndrome, hyperthyroidism, hypothalamic-pituitary-adrenal (HPA) suppression, hypothyroidism, increased intracranial pressure, occlusive dressing, skin abrasion***Head trauma***Growth inhibition, osteoporosis***Surgery***Fungal infection, infection, viral infection***Tuberculosis***Immunosuppression***Herpes infection, measles, varicella***Glaucoma***Acne rosacea, acne vulgaris***Peripheral vascular disease***Nasal septal perforation, nasal surgery, nasal trauma***Myocardial infarction***Heart failure, hypertension***Diabetes mellitus***Skin atrophy***Diverticulitis, GI disease, GI perforation, inflammatory bowel disease, peptic ulcer disease, ulcerative colitis***Myasthenia gravis***Psychosis, seizure disorder***Coagulopathy, hemophilia, thromboembolic disease***Cataracts, ocular exposure, ocular infection, ophthalmic administration, visual disturbance***Pregnancy***Vaccination***Breast-feeding***Tartrazine dye hypersensitivity***Neonates, premature neonates***Idiopathic thrombocytopenic purpura (ITP)***Corticosteroid hypersensitivity***Geriatric***Renal disease, renal impairment***Hepatic disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
['3108'],dapsone,"***For the treatment of dermatitis herpetiformis.***For the treatment leprosy (Hansen's disease).***For multibacillary leprosy.***For paucibacillary leprosy.***For the treatment of acne vulgaris.***For the treatment of actinomycotic mycetoma�.***For actinomycotic mycetoma� caused by <em>Actinomadura madurae</em>� or <em>Streptomyces somaliensis</em>�.***For actinomycotic mycetoma� caused by <em>Nocardia</em> sp.�.***For the treatment of granuloma annulare�.***For the treatment of chronic immune thrombocytopenia/idiopathic thrombocytopenic purpura (ITP)�.***For the treatment of polychondritis�.***For the treatment of mild to moderate Pneumocystis pneumonia (PCP)�.***For Pneumocystis pneumonia (PCP) prophylaxis�.***For primary PCP prophylaxis� in HIV-infected patients.***For secondary PCP prophylaxis� in HIV-infected patients after PCP treatment.***For primary toxoplasmosis prophylaxis� in HIV-infected patients, specifically prevention of toxoplasmic encephalitis (TE)� due to <em>Toxoplasmosis gondii</em>.***For the treatment of pyoderma gangrenosum�.***For the treatment of subcorneal pustular dermatosis�.","***Anemia, G6PD deficiency, methemoglobin reductase deficiency***Hepatic disease***Pregnancy***Breast-feeding***Children, infants, neonates***Sulfonamide hypersensitivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fluticasone propionate,"***For the treatment of pruritus and topical inflammation associated with moderate to severe corticosteroid-responsive dermatoses, including the treatment of alopecia areata, discoid lupus erythematosus, generalized exfoliative dermatitis, cutaneous lichen planus, lichen simplex chronicus, lichen striatus, nodular prurigo, pompholyx (dyshidrosis), pemphigus, polymorphous light eruption, psoriasis, seborrheic dermatitis, severe contact dermatitis, severe Rhus dermatitis (due to plants like poison ivy), and xerosis.***For the treatment of eczema, including atopic dermatitis.***For the management of symptoms associated with seasonal or perennial allergic rhinitis, including allergic conjunctivitis.***For the management of nasal symptoms associated with vasomotor rhinitis (perennial nonallergic rhinitis).***For the maintenance treatment of asthma.***For the treatment of nasal polyps.***For exercise-induced bronchospasm prophylaxis�.***Formaldehyde hypersensitivit","***General Information***Corticosteroid hypersensitivity, milk protein hypersensitivity***Acute bronchospasm, status asthmaticus***Cushing's syndrome, hypothalamic-pituitary-adrenal (HPA) suppression, occlusive dressing, skin abrasion, surgery***Diabetes mellitus***Nasal septal perforation, nasal surgery, nasal trauma***Fungal infection, herpes infection, infection, measles, tuberculosis, varicella, viral infection***Malnutrition, osteoporosis, tobacco smoking***Geriatric***Hepatic disease***Acne rosacea, acne vulgaris, perioral dermatitis, peripheral vascular disease, skin atrophy***Cataracts, glaucoma, increased intraocular pressure, ocular exposure***Formaldehyde hypersensitivity***Children, growth inhibition, increased intracranial pressure, infants***Pregnancy***Breast-feeding***Sunlight (UV) exposure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pramlintide acetate,***For the treatment of type 1 diabetes mellitus and type 2 diabetes mellitus.***For the adjunct treatment of type 1 diabetes mellitus in patients who use mealtime insulin therapy and who have failed to achieve desired glucose control despite optimal insulin therapy.***For the adjunct treatment of type 2 diabetes mellitus in patients who use mealtime insulin therapy and who have failed to achieve desired glucose control despite optimal insulin therapy.,"***General Information***Gastroparesis***Dialysis, renal failure***Driving or operating machinery, hypoglycemia***Cresol hypersensitivity***Diarrhea, fever, infection, surgery, thyroid disease, trauma, vomiting***Osteoporosis***Pregnancy***Breast-feeding***Children***Tobacco smoking***Geriatric",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"diphtheria and tetanus toxoids and acellular pertussis adsorbed, hepatitis B (recombinant) and inactivated poliovirus vaccine","***For simultaneous diphtheria prophylaxis, tetanus prophylaxis, pertussis prophylaxis, hepatitis B prophylaxis, and poliovirus prophylaxis for primary immunization.","***General Information***Hepatitis***Anticoagulant therapy, coagulopathy, hemophilia, intraarterial administration, intravenous administration, subcutaneous administration, thrombocytopenia, vitamin K deficiency***Children, geriatric, infants, neonates, premature neonates***Neomycin hypersensitivity, polymyxin hypersensitivity, yeast hypersensitivity***Latex hypersensitivity***Fever, shock***Coma, encephalopathy, neurological disease, seizure disorder, seizures***Guillain-Barre syndrome***Chemotherapy, immunosuppression, radiation therapy***Pregnancy***Breast-feeding",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
