,Index,Word,CUI
0,0,treatment,CL370626
1,1,thrombocytopenia,C0040034
2,2,cetuximab,C0995188
3,3,combination,C1947911
4,4,irinotecan,C0123931
5,5,indicated,C1444656
6,7,metastatic,C1384494
7,9,colorectal carcinoma,C0009402
8,11,carcinoma refractory carcinoma,C0677936
9,12,patients,C0030705
10,13,chemotherapy administered,C3846170
11,14,chemotherapy single agent chemotherapy,C3846440
12,23,intolerant,C0231200
13,24,adjunct therapy,C0677850
14,25,adjunct treatment,C3858690
15,26,cystic fibrosis,C0010674
16,29,cutaneous lymphoma,C1302772
17,31,etanercept,C0717758
18,34,moderately severely,C1299393
19,35,moderately active,C3833417
20,36,rheumatoid arthritis,C0003873
21,38,arthritis chronic arthritis arthritis,C0263680
22,39,adults,C0001675
23,40,plaque psoriasis,C0406317
24,42,manage symptoms,C0030231
25,43,signs symptoms,C0037088
26,45,polyarticular arthritis,C0162323
27,46,idiopathic,C0332240
28,47,aged 17 after,C3843405
29,48,insufficient,C0205412
30,49,response,C0871261
31,50,one,C0205447
32,51,antirheumatic drugs,C0003191
33,54,psoriatic arthritis,C0003872
34,56,ankylosing spondylitis,C0038013
35,60,prevention,C0199176
36,61,thrombosis,C0040053
37,62,bivalirudin,C0168273
38,63,indicated use,C3146298
39,65,percutaneous coronary intervention pci,C1532338
40,66,moderate high,CL463893
41,67,moderate risk,C0332166
42,68,acute coronary syndromes,C0948089
43,71,due,C3146286
44,72,unstable angina,C0002965
45,74,segment,C0441635
46,75,elevation,C0702240
47,76,planned,C1301732
48,77,treatment cancer,C0920425
49,78,prostate cancer,C0376358
50,79,prostate cancer,C0600139
51,80,endometriosis uterine,C0341858
52,81,uterine fibroids,C0042133
53,83,premature puberty,C0034013
54,84,peginterferon,C0982327
55,86,treatment combination,C0009429
56,87,other significant other,C0682323
57,88,antiviral drugs,C0003451
58,90,patients patients patients positive,C1561964
59,92,age,C0001779
60,93,compensated liver disease,C3839044
61,94,label,CL473410
62,95,may,C3812381
63,96,contraindications,C1301624
64,97,intolerance,C1744706
65,98,antiviral therapies,C0280274
66,102,adult,C0001675
67,103,positive hbeag,C0392390
68,104,positive negative,C3842923
69,105,chronic hepatitis b,C0524909
70,107,hepatitis b infection,C0019163
71,109,evidence,C0332120
72,110,viral replication,C0042774
73,111,liver inflammation,C0019158
74,112,management,C1273870
75,113,acute myocardial infarction acute,C0155626
76,115,myocardial infarction acute,C0155626
77,117,ischemic,C0475224
78,118,lysis acute,C1265860
79,119,pulmonary,C2709248
80,120,emboli,C1704212
81,121,treatment prevention,C0199176
82,122,dwarfism,C0013336
83,123,weight loss,C1262477
84,126,venereal warts,C0009663
85,128,genital,C0559522
86,129,human virus,C0318356
87,131,anemia renal,C1142276
88,132,renal transplants,C0022671
89,134,certain,C0205423
90,135,urokinase,C0042071
91,137,embolism artery thrombosis,C0155749
92,138,coronary artery thrombosis,C0010072
93,139,artery catheter venous,C0179716
94,140,iv catheter,C0179768
95,141,clearance,C0449297
96,142,blood clots,C0087086
97,144,treat,CL448901
98,145,cancers breast,C0678222
99,147,pre menopausal,C0206158
100,148,peri,C0347985
101,149,women,C0043210
102,150,prostate,C0033575
103,151,benign,C0205183
104,152,disorders endometriosis,C0014175
105,153,disorders uterine endometrial,C0549623
106,157,thinning,C0332528
107,158,addition,C0332287
108,159,goserelin,C0120107
109,160,assisted,C1269765
110,161,reproduction,C0035150
111,163,precocious puberty,C0034013
