"","Blank 1","Frequency","Blank 2","Frequency"
"2","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",11,"                                          ",53
"6","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 3 years cervical cancer in situ and",6,"or carcinoma in situ of the bladder vocal cord or breast                      ",1
"1","individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy and did not receive prior chemotherapy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",2,".                                                                                                         ",1
"14","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years or are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years cervical cancer in situ and",2,"stage i colon carcinoma confined to a polyp                      ",1
"28","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated within the past 5 years ductal carcinoma in situ of the breast cervical cancer in situ and",2,"low risk localized prostate cancer                                        ",1
"3","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies who have been disease free for at least 5 years or individuals with another malignancy that are deemed by the investigator to be at low risk for clinically meaningfmcL recurrence example ex . cervical cancer in situ definitively treated early stage prostate cancer confined to prostate with gleason 6 or below definitely treated breast ductal or lobmcLar carcinoma in situ",1,"individuals with a history of other malignancy are ineligible unless disease free for at least 3 years or deemed by the investigator to be at low risk < 10 for recurrence of that malignancy                                                    ",1
"4","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 2 years individuals with the following cancers are eligible if diagnosed and treated within the past 2 years cervical cancer in situ and",1,"individuals treated for localized node negative cancers > = 2 years ago with no evidence of cancer are also considered eligible             ",1
"5","individuals with a history of a different malignancy are ineligible except for the following circumstances individuals with a history of other malignancies are eligible if they have been disease free for at least 5 years and are deemed by the investigator to be at low risk for recurrence of that malignancy individuals with the following cancers are eligible if diagnosed and treated for cure within the past 5 years cervical cancer in situ",1,"",NA
"7","individuals with a recent history of a different malignancy are ineligible except for the following circumstances 1 individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years or are deemed by the investigator to be at low risk for recurrence of that malignancy 2 individuals with the following cancers are eligible if diagnosed and treated within the past 3 years cervical cancer in situ and",1,"",NA
"12","individuals with a history of a different malignancy are ineligible except for the following circumstances r n individuals with a history of other malignancies are eligible if they have been disease free for at least 3 years and are deemed by the investigator to be at low risk for recurrence of that malignancy r n individuals with the following cancers are eligible if diagnosed and treated within the past 3 years cervical cancer in situ and",1,"",NA
