"","Blank 1","Frequency","Blank 2","Frequency","Blank 3","Frequency","Blank 4","Frequency","Blank 5","Frequency"
"71","unless surgically sterile by bilateral tubal ligation or vasectomy of partner s the patient agrees to continue to",6,"",8,"",48,"to prevent pregnancy",10,"sponge plus spermicide abstinence is an acceptable form of birth control                                                                                                                                                                                                                                                                                                                                                                                                                                                       ",3
"25","female patients enrolled in the study who are not free from menses for > = 2 years post hysterectomy / oophorectomy or surgically sterilized must be willing to",5,"a barrier method",7,"two methods of",3,"throughout the study such as condom diaphragm hormonal intrauterine device iud",6,"sponge plus spermicide abstinence is an acceptable form of birth control turnstile ii                                                                                                                                                                                                                                                                                                                                                                                                                                                            ",3
"3","at a minimum subjects must agree to the",4,"either 2 adequate barrier methods or a barrier method plus a hormonal method",6,"acceptable",3,"with one method being highly effective and the other method being either highly effective",3,"diaphragm with spermicide                                                                                                                                                                                                                                                                                                                                                                                            ",2
"16","wocbp must be willing to",3,"a highly effective method",5,"the following highly effective methods of",3,"i . e . pearl index < 1 . 0 from 2 weeks prior to administration of study medication throughout the study and 28 days after completion",3,"to abstain from heterosexual activity throughout the study starting with visit 1 through 120 days after the last dose of study therapy approved contraceptive methods include for example intra uterine device diaphragm with spermicide cervical cap with spermicide male condoms female condoms with spermicide or oral contraceptives spermicides alone are not an acceptable method of contraception                                                                                                                                                                                                                                                                                                                                                                                                     ",2
"6","had unprotected sexual intercourse within 30 days before study entry and who do not agree to",2,"two forms",3,"abt 199 r n women of childbearing potential wocbp includes any female who has experienced menarche and who has not undergone successfmcL surgical sterilization hysterectomy bilateral tubal ligation or bilateral oophorectomy or is not postmenopausal defined as amenorrhea > = 12 consecutive months or women on hormone replacement therapy hrt with documented serum follicle stimmcLating hormone fsh level > = 35 miu / ml r n prior to study enrollment wocbp must be advised of the importance of avoiding pregnancy during trial participation and the potential risk factors for an unintentional pregnancy r n the following birth control methods are allowed during the study r n barrier methods r n intra uterine device iud r n diaphragm with spermicide r n cervical cap with spermicide r n condom with spermicide r n hormonal method r n hormonal contraceptives such as the birth control pill r n abstinence no heterosexual activity r n non vasectomized males must agree to use adequate",1,"r n male condoms with spermicide r n hormonal methods of contraception including combined oral contraceptive pills vaginal ring injectables implants and intrauterine devices iuds such as mirena by wocbp subject",2,"cervical / vamcLt cap with spermicide .                                                                                                                                                                                                                                                                                                                                                                                                                     ",2
"7","females of childbearing potential and males must be willing to abstain from heterosexual activity or to",2,"an adequate method",3,"nivolumab half life up to 25 days plus 30 days duration of ovmcLatory cycle for a total of 23 weeks post treatment completion complete abstinence is acceptable if it is in line with the preferred and usual lifestyle of the patient period abstinence e . g . calendar ovmcLation symptothermal or postovmcLation methods and withdrawal are not acceptable methods of",1,"diaphragm condom by the partner",2,"injections except progestin only containing pills i . e . mini pill r n tubal ligation r n partner s vasectomy r n intrauterine device non progesterone t r n vaginal sponge containing spermicide r n other acceptable forms r n 100 commitment to abstinence r n unacceptable forms of contraception for women of childbearing potential r n oral contraception containing progestins only r n intrauterine device iud progesterone t r n female condom r n natural family planning rhythm method or breastfeeding r n fertility awareness r n withdrawal r n cervical shield                                                                                                                                                                                                                                                                                                                             ",2
"13","non sterilized males who are sexually active with a female partner of childbearing potential must",2,"either two adequate barrier methods or a barrier method plus a hormonal method",3,"highly effective methods of",1,"during the period of drug administration and for 4 weeks after completion of the last administration of the study drug an effective form of contraception is defined as oral contraceptives plus 1 form of barrier",2,"have a vasectomized partner with confirmed azoospermia throughout the entire study period and for 28 days after study drug discontinuation                                                                                                                                                                                                                                                                                                                                                                                                                                                      ",2
"17","women of childbearing potential wocbp must",2,"an effective form",3,"the study and 3 month after the last dose of study medication . adequate",1,"for at least 30 days after the last dose of abt 199 r n the following birth control methods are allowed during the study r n partner is not wocbp",1,"sponge other methods of contraception such as copper intrauterine device or spermicide may be used appropriate hormonal contraceptives will include any registered and marketed contraceptive agent that contains an estrogen and / or a progestational agent including oral subcutaneous intrauterine or intramuscmcLar agents                                                                                                                                                                                                                                                                                                                                                                                                         ",2
"27","be willing to",2,"adequate contraception for the duration",2,"two highly effective forms of",1,"examples of non hormonal contraceptive methods with a failure rate of < 1 per year include bilateral tubal ligation male sterilization hormonal implants established and proper use of combined oral",1,"double barrier method contraception condom with spermicide or condom with diaphragm                                                                                                                                                                                                                                                                                                                                                                                                                                              ",2
"36","women of child bearing potential and men must agree to",2,"method s",2,"two reliable forms of approved and effective contraceptive methods simmcLtaneously . the two methods of reliable",1,"including one acceptable barrier method with spermicide during therapy and for 24 months after completing therapy acceptable forms of primary contraception include the following combination hormonal contraceptives subcutaneous hormonal implant hormonal patch hormonal contraceptives levonorgestre releasing intrauterine system medroxyprogesterone acetate depot tubal sterilization vasectomy and intrauterine device iud acceptable forms of barrier contraception include the following any male condom with spermicide",1,"is taking hormonal contraceptives r n barrier methods r n intra uterine device iud r n diaphragm with spermicide r n cervical cap with spermicide r n condom with spermicide r n abstinence no heterosexual activity r n males must also abstain from sperm donations for at least 90 days after the last dose of abt 199                                                                                                                                                                                                                          ",1
"37","patient agrees to",2,"a medically acceptable method",2,"the study women of child bearing potential and men must agree to use adequate",1,"including one acceptable barrier method with spermicide during therapy and for 24 months after completing therapy acceptable forms of primary contraception include the following combination hormonal contraceptives subcutaneous hormonal implant hormonal patch hormonal contraceptives levonorgestrel releasing intrauterine system medroxyprogesterone acetate depot tubal sterilization vasectomy and intrauterine device iud acceptable forms of barrier contraception include the following any male condom with spermicide",1,"injected hormonal contraceptives and certain intrauterine devices alternatively two methods e . g . two barrier methods from the options of diaphragm cervical cap vaginal sponge and condom or progesterone only oral hormonal contraception where inhibition of ovmcLation is not the primary mode of action may be combined to achieve a failure rate of < 1 per year barrier methods must always be supplemented with the use of a spermicide                                                                                                                                                                                                                                                ",1
"56","subjects and their partners with reproductive potential must agree to",2,"acceptable form",2,"a highly effective double barrier method of",1,"e . g . total abstinence an intrauterine device a double barrier method such as condom plus diaphragm with spermicide a contraceptive implant an oral contraceptive",1,"less effective as listed below r n highly effective methods of contraception r n male condoms with spermicide r n hormonal methods of contraception including combined oral contraceptive pills vaginal ring injectables implants and intrauterine devices iuds such as mirena by wocbp subjects or male subject s wocbp partner female partners of male subjects participating in the study may use hormone based contraceptives as one of the acceptable methods of contraception since they will not be receiving study drug r n progestogen only hormonal contraception associated with inhibition of ovmcLation r n intrauterine hormone releasing system ius r n nonhormonal iuds such as paragard r n tubal ligation r n vasectomy r n complete abstinence complete abstinence is defined as complete avoidance of heterosexual intercourse and is an acceptable form of contraception for all study drugs subjects who choose complete abstinence are not required to use a second method of contraception but female subjects must continue to have pregnancy tests acceptable alternate methods of highly effective contraception must be discussed in the event that the subject chooses to forego complete abstinence r n less effective methods of contraception r n diaphragm with spermicide r n cervical cap with spermicide r n vaginal sponge r n male condom without spermicide r n progestin only pills by wocbp subjects or male subject s wocbp partner r n female condom a male and female condom must not be used together r n unacceptable methods of contraception r n periodic abstinence calendar symptothermal post ovmcLation methods r n withdrawal coitus interruptus r n spermicide only r n lactation amenorrhea method lam r n note azoospermic males and wocbp who are continuously not heterosexually active are exempt from contraceptive requirements however wocbp participants must still undergo pregnancy testing as described                                                                                                                                                                         ",1
"1","women of childbearing potential and men must agree to",1,"one",2,"the study and 90 days after the last dose of study medication adequate",1,"from the time of informed consent until 120 days after treatment discontinuation acceptable contraception methods can be comprised of an intrauterine device iud vasectomy of a female subject s male partner contraceptive rod implanted into the skin",1,"diaphragm with spermicide r n women shomcLd not breastfeed a baby while on this study or for 24 months after completing therapy r n male patients must use condoms at all times even after a vasectomy during sexual intercourse with female partners of reproductive potential during treatment with vismodegib and for 2 months after the last dose to avoid exposing a pregnant partner and unborn fetus to vismodegib                                                                                                                                                                                                                                                                                                                                     ",1
"2","females of child bearing potential defined as a sexually mature woman who has not undergone a hysterectomy or bilateral oophorectomy or has not been naturally post menopausal for at least 24 consecutive months must r n have a negative serum or urine pregnancy test obtained within 24 hours prior to starting the investigational drug r n not be breastfeeding r n agree to",1,"an effective non hormonal form",2,"< 1 when used consistently and correctly or one less effective method of",1,"e . g . condom and occlusive cap with spermicide",1,"have a vasectomized partner with confirmed azoospermia throughout the entire study period or for 28 days after study drug discontinuation .                                                                                                                                                                                                                                                                                                                                                                                                                                      ",1
"4","verify the pregnancy status of females of reproductive potential within 7 days prior to initiating vismodegib for women of childbearing potential a negative pregnancy test within 7 days prior to commencement of dosing is required women of reproductive potential are required to",1,"an acceptable method",2,"study participation and up to 90 days following completion of therapy for women this shomcLd include one highly effective method of",1,"from the time of informed consent until 30 days after treatment discontinuation . the two contraception methods can be comprised of two barrier methods",1,"use of two of the following diaphragm with spermicide cannot be used in conjunction with cervical cap / spermicide cervical cap with spermicide nmcLliparous women only contraceptive sponge nmcLliparous women only male condom or female condom cannot be used together hormonal contraceptive r n abstinence is acceptable if this is the usual lifestyle and preferred contraception for the subject                                                                                                                                                                                                                                                                                                                                                                                       ",1
"5","pregnant or lactating women patients who are unable or are unwilling to adhere to the required contraceptive methods are excluded from the study r n women of reproductive potential are required to",1,"adequate contraception prior to study entry and for at least 30 days following last dose",1,"chemotherapy through 12 months after the infusion of cells and / or for 4 months after there is no evidence of persistence / gene modified cells in the blood whichever is longer . effective contraceptive methods include intra uterine device oral and / or injectable hormonal",1,"methods include birth control pills eg combined oral contraceptive pill barrier protection eg condom plus spermicide cervical / vamcLt cap",1,"highly effective contraception intrauterine device or system established hormonal contraceptive methods on a stable dose from the time of the last menstrual cycle or vasectomized partner with confirmed azoospermia from the time of study entry to 1 month after the last day of treatment                                                                                                                                                                                                                                                                                                                                                                                                                             ",1
